,Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
0,2019-01-03T16:03:56Z,Buy,SPA,63,USD,0.010788,0.68,0.68,0.0,Bought 63 SPA for $0.68 USD
1,2019-01-03T18:10:37Z,Buy,RONIN,83,USD,4.278,355.07,355.07,0.0,Bought 83 RONIN for $355.07 USD
2,2019-01-04T08:23:18Z,Recieve,ANKR,65,USD,0.02813,1.83,1.83,0.0,Recieved 65 ANKR from an external source
3,2019-01-04T18:10:04Z,Buy,ASM,57,USD,0.03032,1.73,1.73,0.0,Bought 57 ASM for $1.73 USD
4,2019-01-05T01:18:06Z,Buy,DOGE,78,USD,0.15266,11.91,11.91,0.0,Bought 78 DOGE for $11.91 USD
5,2019-01-05T14:09:13Z,Sell,DOGE,68,USD,0.22198,15.09,15.32,0.23,Sold 68 DOGE for $15.32 USD
6,2019-01-08T23:51:31Z,Buy,BAND,12,USD,1.982,23.79,23.79,0.0,Bought 12 BAND for $23.79 USD
7,2019-01-09T15:58:58Z,Recieve,ASM,56,USD,0.008,0.45,0.45,0.0,Recieved 56 ASM from an external source
8,2019-01-10T05:00:25Z,Buy,ANKR,86,USD,0.05029,4.33,4.33,0.0,Bought 86 ANKR for $4.33 USD
9,2019-01-10T09:40:37Z,Buy,NU,76,USD,0.4577,34.78,34.78,0.0,Bought 76 NU for $34.78 USD
10,2019-01-11T03:05:22Z,Buy,SPA,18,USD,0.00421,0.08,0.08,0.0,Bought 18 SPA for $0.08 USD
11,2019-01-11T08:29:03Z,Recieve,TRB,4,USD,416.32,1665.28,1665.28,0.0,Recieved 4 TRB from an external source
12,2019-01-11T11:28:01Z,Recieve,HONEY,61,USD,0.9681,59.06,59.06,0.0,Recieved 61 HONEY from an external source
13,2019-01-11T18:23:15Z,Recieve,RARE,24,USD,0.1789,4.29,4.29,0.0,Recieved 24 RARE from an external source
14,2019-01-14T03:33:38Z,Recieve,RONIN,98,USD,3.829,375.22,375.22,0.0,Recieved 98 RONIN from an external source
15,2019-01-14T09:04:22Z,Convert,ANKR,78,USD,0.01738,1.36,1.38,0.02,Converted 78 ANKR to 222.93 SPA
16,2019-01-14T19:12:02Z,Recieve,TRB,96,USD,351.67,33760.0,33760.0,0.0,Recieved 96 TRB from an external source
17,2019-01-14T23:09:41Z,Buy,TRB,13,USD,103.73,1348.51,1348.51,0.0,Bought 13 TRB for $1348.51 USD
18,2019-01-15T03:01:47Z,Recieve,SUPER,84,USD,0.82369,69.19,69.19,0.0,Recieved 84 SUPER from an external source
19,2019-01-15T07:37:15Z,Buy,LOOM,2,USD,0.15,0.3,0.3,0.0,Bought 2 LOOM for $0.3 USD
20,2019-01-15T21:36:51Z,Sell,SUPER,24,USD,1.59243,38.22,38.79,0.57,Sold 24 SUPER for $38.79 USD
21,2019-01-17T13:15:10Z,Buy,RARE,79,USD,0.2332,18.43,18.43,0.0,Bought 79 RARE for $18.43 USD
22,2019-01-17T14:30:02Z,Recieve,RGT,72,USD,29.69,2137.91,2137.91,0.0,Recieved 72 RGT from an external source
23,2019-01-18T02:04:00Z,Convert,ASM,90,USD,0.0582,5.24,5.32,0.08,Converted 90 ASM to 6.9 HONEY
24,2019-01-19T04:54:42Z,Convert,NU,61,USD,0.1312,8.0,8.12,0.12,Converted 61 NU to 0.11 TRB
25,2019-01-19T07:31:19Z,Buy,RONIN,58,USD,2.857,165.73,165.73,0.0,Bought 58 RONIN for $165.73 USD
26,2019-01-20T22:48:37Z,Recieve,RARE,37,USD,0.2052,7.59,7.59,0.0,Recieved 37 RARE from an external source
27,2019-01-21T08:43:40Z,Buy,RGT,90,USD,16.57,1491.46,1491.46,0.0,Bought 90 RGT for $1491.46 USD
28,2019-01-21T14:39:20Z,Buy,ANKR,25,USD,0.01984,0.5,0.5,0.0,Bought 25 ANKR for $0.5 USD
29,2019-01-23T04:11:47Z,Recieve,BAND,72,USD,0.964,69.41,69.41,0.0,Recieved 72 BAND from an external source
30,2019-01-23T09:19:11Z,Buy,LOOM,68,USD,0.036,2.45,2.45,0.0,Bought 68 LOOM for $2.45 USD
31,2019-01-23T09:59:13Z,Buy,LOOM,12,USD,0.1438,1.73,1.73,0.0,Bought 12 LOOM for $1.73 USD
32,2019-01-24T11:18:30Z,Recieve,ASM,19,USD,0.02799,0.53,0.53,0.0,Recieved 19 ASM from an external source
33,2019-01-24T13:35:42Z,Buy,NU,89,USD,0.1987,17.69,17.69,0.0,Bought 89 NU for $17.69 USD
34,2019-01-25T01:22:56Z,Recieve,RONIN,78,USD,4.262,332.45,332.45,0.0,Recieved 78 RONIN from an external source
35,2019-01-26T04:45:23Z,Convert,ANKR,32,USD,0.02986,0.96,0.97,0.01,Converted 32 ANKR to 12.59 DOGE
36,2019-01-26T23:20:23Z,Recieve,BAND,91,USD,2.409,219.23,219.23,0.0,Recieved 91 BAND from an external source
37,2019-01-27T21:13:45Z,Buy,RARE,74,USD,0.0648,4.79,4.79,0.0,Bought 74 RARE for $4.79 USD
38,2019-01-28T05:05:18Z,Recieve,DOGE,37,USD,0.17064,6.31,6.31,0.0,Recieved 37 DOGE from an external source
39,2019-01-29T06:23:46Z,Recieve,LTC,96,USD,77.65,7454.38,7454.38,0.0,Recieved 96 LTC from an external source
40,2019-01-29T20:24:51Z,Convert,HONEY,28,USD,0.7626,21.35,21.67,0.32,Converted 28 HONEY to 0.05 TRB
41,2019-01-30T00:27:01Z,Buy,NCT,69,USD,0.01047,0.72,0.72,0.0,Bought 69 NCT for $0.72 USD
42,2019-01-30T17:40:11Z,Sell,RONIN,8,USD,4.348,34.78,35.3,0.52,Sold 8 RONIN for $35.3 USD
43,2019-01-31T02:35:31Z,Convert,HONEY,3,USD,0.8484,2.55,2.58,0.04,Converted 3 HONEY to 1.86 SUPER
44,2019-01-31T09:18:17Z,Recieve,SUPER,83,USD,0.88029,73.06,73.06,0.0,Recieved 83 SUPER from an external source
45,2019-01-31T11:59:10Z,Buy,LTC,26,USD,109.17,2838.44,2838.44,0.0,Bought 26 LTC for $2838.44 USD
46,2019-02-02T15:00:11Z,Buy,HONEY,64,USD,0.2686,17.19,17.19,0.0,Bought 64 HONEY for $17.19 USD
47,2019-02-02T22:11:39Z,Convert,TRB,42,USD,487.78,20486.57,20793.87,307.3,Converted 42 TRB to 25579.81 HONEY
48,2019-02-03T12:45:48Z,Convert,NU,50,USD,0.129,6.45,6.54,0.1,Converted 50 NU to 84.26 ASM
49,2019-02-04T10:36:13Z,Sell,LTC,92,USD,66.07,6078.46,6169.63,91.18,Sold 92 LTC for $6169.63 USD
50,2019-02-04T16:56:18Z,Convert,ANKR,11,USD,0.04756,0.52,0.53,0.01,Converted 11 ANKR to 0.01 TRB
51,2019-02-05T16:15:46Z,Sell,LOOM,9,USD,0.0532,0.48,0.49,0.01,Sold 9 LOOM for $0.49 USD
52,2019-02-05T16:19:38Z,Sell,HONEY,94,USD,0.8488,79.78,80.98,1.2,Sold 94 HONEY for $80.98 USD
53,2019-02-05T21:32:31Z,Convert,DOGE,20,USD,0.22359,4.47,4.54,0.07,Converted 20 DOGE to 64.07 ASM
